"Location","applicant_race_ethnicity","loan_failed","total_loans","debt_to_income_ratio_bracket","income_bracket","denial_rate"
"IL","Hispanic or Latino",4343,43957,"All","All",0.0988011010760516
"IL","Non-Hispanic Asian",1402,22384,"All","All",0.0626340243030736
"IL","Non-Hispanic Black",4064,28080,"All","All",0.144729344729345
"IL","Non-Hispanic White",10986,207963,"All","All",0.0528267047503642
"IN","Hispanic or Latino",749,9071,"All","All",0.0825708301179583
"IN","Non-Hispanic Asian",339,5307,"All","All",0.0638778971170153
"IN","Non-Hispanic Black",998,9892,"All","All",0.10088960776385
"IN","Non-Hispanic White",8283,154858,"All","All",0.0534877113226311
"KS","Hispanic or Latino",416,4802,"All","All",0.0866305705955852
"KS","Non-Hispanic Asian",138,2300,"All","All",0.06
"KS","Non-Hispanic Black",194,2220,"All","All",0.0873873873873874
"KS","Non-Hispanic White",2876,57146,"All","All",0.0503272320022399
"KY","Hispanic or Latino",469,3054,"All","All",0.153569089718402
"KY","Non-Hispanic Asian",116,1820,"All","All",0.0637362637362637
"KY","Non-Hispanic Black",536,4535,"All","All",0.11819184123484
"KY","Non-Hispanic White",9712,90547,"All","All",0.10725921344716
"LA","Hispanic or Latino",645,4365,"All","All",0.147766323024055
"LA","Non-Hispanic Asian",147,1894,"All","All",0.0776135163674762
"LA","Non-Hispanic Black",4601,20274,"All","All",0.226940909539311
"LA","Non-Hispanic White",7972,76373,"All","All",0.104382438820002
"MA","Hispanic or Latino",1478,17508,"All","All",0.0844185515193055
"MA","Non-Hispanic Asian",839,14915,"All","All",0.0562520952061683
"MA","Non-Hispanic Black",1106,10579,"All","All",0.10454674354854
"MA","Non-Hispanic White",5169,117655,"All","All",0.0439335344864222
"MD","Hispanic or Latino",1630,19454,"All","All",0.0837873959082965
"MD","Non-Hispanic Asian",994,14983,"All","All",0.0663418541013148
"MD","Non-Hispanic Black",5381,50944,"All","All",0.105625785175879
"MD","Non-Hispanic White",4223,100076,"All","All",0.0421979295735241
"ME","Hispanic or Latino",67,521,"All","All",0.128598848368522
"ME","Non-Hispanic Asian",28,427,"All","All",0.0655737704918033
"ME","Non-Hispanic Black",32,413,"All","All",0.0774818401937046
"ME","Non-Hispanic White",2054,28616,"All","All",0.0717780262790048
"MI","Hispanic or Latino",989,8434,"All","All",0.117263457434195
"MI","Non-Hispanic Asian",497,9313,"All","All",0.0533662622141093
"MI","Non-Hispanic Black",2547,15402,"All","All",0.16536813400857
"MI","Non-Hispanic White",13658,203097,"All","All",0.0672486545837703
"MN","Hispanic or Latino",731,7354,"All","All",0.0994016861571934
"MN","Non-Hispanic Asian",560,10283,"All","All",0.0544588155207624
"MN","Non-Hispanic Black",697,7612,"All","All",0.0915659485023647
"MN","Non-Hispanic White",5917,146027,"All","All",0.040519903853397
"MO","Hispanic or Latino",419,4960,"All","All",0.0844758064516129
"MO","Non-Hispanic Asian",189,3790,"All","All",0.049868073878628
"MO","Non-Hispanic Black",1034,8876,"All","All",0.116493916178459
"MO","Non-Hispanic White",7366,136212,"All","All",0.0540774674771679
"MS","Hispanic or Latino",267,1903,"All","All",0.140304781923279
"MS","Non-Hispanic Asian",63,829,"All","All",0.0759951749095295
"MS","Non-Hispanic Black",2863,13188,"All","All",0.217091295116773
"MS","Non-Hispanic White",4436,44550,"All","All",0.0995735129068462
"MT","Hispanic or Latino",60,800,"All","All",0.075
"MT","Non-Hispanic Asian",13,273,"All","All",0.0476190476190476
"MT","Non-Hispanic Black",18,147,"All","All",0.122448979591837
"MT","Non-Hispanic White",1708,27788,"All","All",0.0614653807398877
"NC","Hispanic or Latino",2037,20879,"All","All",0.0975621437808324
"NC","Non-Hispanic Asian",1002,14626,"All","All",0.0685081361958157
"NC","Non-Hispanic Black",5839,42154,"All","All",0.138515917825117
"NC","Non-Hispanic White",14767,239621,"All","All",0.0616264851578117
"ND","Hispanic or Latino",57,535,"All","All",0.106542056074766
"ND","Non-Hispanic Asian",17,238,"All","All",0.0714285714285714
"ND","Non-Hispanic Black",25,278,"All","All",0.0899280575539568
"ND","Non-Hispanic White",857,17440,"All","All",0.0491399082568807
"NE","Hispanic or Latino",240,3348,"All","All",0.0716845878136201
"NE","Non-Hispanic Asian",66,1506,"All","All",0.0438247011952191
"NE","Non-Hispanic Black",93,1216,"All","All",0.0764802631578947
"NE","Non-Hispanic White",1517,41412,"All","All",0.0366318941369651
"NH","Hispanic or Latino",193,1815,"All","All",0.10633608815427
"NH","Non-Hispanic Asian",100,1125,"All","All",0.0888888888888889
"NH","Non-Hispanic Black",60,514,"All","All",0.116731517509728
"NH","Non-Hispanic White",2634,39540,"All","All",0.0666160849772382
"NJ","Hispanic or Latino",3707,35048,"All","All",0.105769230769231
"NJ","Non-Hispanic Asian",2217,26279,"All","All",0.0843639407892233
"NJ","Non-Hispanic Black",2818,20520,"All","All",0.137329434697856
"NJ","Non-Hispanic White",7806,134365,"All","All",0.0580954861757154
"NM","Hispanic or Latino",2713,18464,"All","All",0.146934575389948
"NM","Non-Hispanic Asian",90,1324,"All","All",0.06797583081571
"NM","Non-Hispanic Black",122,1088,"All","All",0.112132352941176
"NM","Non-Hispanic White",2004,27156,"All","All",0.0737958462218294
"NV","Hispanic or Latino",1687,20794,"All","All",0.0811291718765028
"NV","Non-Hispanic Asian",972,10358,"All","All",0.0938405097509172
"NV","Non-Hispanic Black",746,7406,"All","All",0.100729138536322
"NV","Non-Hispanic White",4094,64348,"All","All",0.0636228010194567
"NY","Hispanic or Latino",3790,32274,"All","All",0.117431988597633
"NY","Non-Hispanic Asian",3152,34223,"All","All",0.0921018028811034
"NY","Non-Hispanic Black",3291,23593,"All","All",0.139490526851185
"NY","Non-Hispanic White",13089,192463,"All","All",0.0680078768386651
"OH","Hispanic or Latino",652,7871,"All","All",0.0828357260830898
"OH","Non-Hispanic Asian",512,9258,"All","All",0.0553035212788939
"OH","Non-Hispanic Black",1929,17590,"All","All",0.109664582148948
"OH","Non-Hispanic White",13137,244605,"All","All",0.0537069969951555
"OK","Hispanic or Latino",717,6963,"All","All",0.102972856527359
"OK","Non-Hispanic Asian",177,2495,"All","All",0.0709418837675351
"OK","Non-Hispanic Black",522,4033,"All","All",0.129432184478056
"OK","Non-Hispanic White",6189,71689,"All","All",0.086331236312405
"OR","Hispanic or Latino",1025,11227,"All","All",0.0912977643181616
"OR","Non-Hispanic Asian",486,7882,"All","All",0.0616594772900279
"OR","Non-Hispanic Black",177,2010,"All","All",0.0880597014925373
"OR","Non-Hispanic White",5846,108769,"All","All",0.0537469315705762
"PA","Hispanic or Latino",1376,14050,"All","All",0.0979359430604982
"PA","Non-Hispanic Asian",915,14089,"All","All",0.0649442827737952
"PA","Non-Hispanic Black",1965,16208,"All","All",0.121236426456071
"PA","Non-Hispanic White",12920,223788,"All","All",0.0577332117897296
"RI","Hispanic or Latino",301,3426,"All","All",0.0878575598365441
"RI","Non-Hispanic Asian",56,858,"All","All",0.0652680652680653
"RI","Non-Hispanic Black",163,1546,"All","All",0.105433376455369
"RI","Non-Hispanic White",1220,22917,"All","All",0.0532355893005193
"SC","Hispanic or Latino",1106,8167,"All","All",0.135423043957389
"SC","Non-Hispanic Asian",301,3863,"All","All",0.0779187160238157
"SC","Non-Hispanic Black",5760,24517,"All","All",0.234939021903169
"SC","Non-Hispanic White",10641,132115,"All","All",0.0805434659198426
"SD","Hispanic or Latino",64,618,"All","All",0.103559870550162
"SD","Non-Hispanic Asian",13,271,"All","All",0.0479704797047971
"SD","Non-Hispanic Black",14,262,"All","All",0.0534351145038168
"SD","Non-Hispanic White",872,19302,"All","All",0.0451766656305046
"TN","Hispanic or Latino",862,8626,"All","All",0.0999304428472061
"TN","Non-Hispanic Asian",405,5213,"All","All",0.0776903894110877
"TN","Non-Hispanic Black",1972,15981,"All","All",0.123396533383393
"TN","Non-Hispanic White",12602,165043,"All","All",0.0763558587761977
"TX","Hispanic or Latino",33847,241494,"All","All",0.140156691263551
"TX","Non-Hispanic Asian",4598,63019,"All","All",0.0729621225344737
"TX","Non-Hispanic Black",11456,81666,"All","All",0.140278696152622
"TX","Non-Hispanic White",37270,478247,"All","All",0.0779304418009941
"UT","Hispanic or Latino",1286,14150,"All","All",0.0908833922261484
"UT","Non-Hispanic Asian",192,3910,"All","All",0.0491048593350384
"UT","Non-Hispanic Black",121,1227,"All","All",0.0986145069274654
"UT","Non-Hispanic White",5252,107961,"All","All",0.0486471966728726
"VA","Hispanic or Latino",1777,23406,"All","All",0.0759207040929676
"VA","Non-Hispanic Asian",1465,24134,"All","All",0.0607027430181487
"VA","Non-Hispanic Black",3404,35049,"All","All",0.0971211732146424
"VA","Non-Hispanic White",7936,176616,"All","All",0.0449336413461974
"VT","Hispanic or Latino",39,264,"All","All",0.147727272727273
"VT","Non-Hispanic Asian",11,245,"All","All",0.0448979591836735
"VT","Non-Hispanic Black",9,134,"All","All",0.0671641791044776
"VT","Non-Hispanic White",849,11646,"All","All",0.0729005667181865
"WA","Hispanic or Latino",1832,22246,"All","All",0.0823518834846714
"WA","Non-Hispanic Asian",1841,31879,"All","All",0.0577496157344961
"WA","Non-Hispanic Black",702,8846,"All","All",0.0793579018765544
"WA","Non-Hispanic White",8714,185240,"All","All",0.0470416756640035
"WI","Hispanic or Latino",619,6572,"All","All",0.0941874619598296
"WI","Non-Hispanic Asian",251,4493,"All","All",0.0558646783886045
"WI","Non-Hispanic Black",504,3702,"All","All",0.13614262560778
"WI","Non-Hispanic White",6791,133817,"All","All",0.0507484101422091
"WV","Hispanic or Latino",109,867,"All","All",0.125720876585928
"WV","Non-Hispanic Asian",41,365,"All","All",0.112328767123288
"WV","Non-Hispanic Black",127,960,"All","All",0.132291666666667
"WV","Non-Hispanic White",4202,30687,"All","All",0.136930947958419
"WY","Hispanic or Latino",108,1038,"All","All",0.104046242774566
"WY","Non-Hispanic Asian",7,135,"All","All",0.0518518518518519
"WY","Non-Hispanic Black",10,151,"All","All",0.0662251655629139
"WY","Non-Hispanic White",960,15059,"All","All",0.0637492529384421
"AK","Hispanic or Latino",1,18,"<20%","All",999
"AK","Hispanic or Latino",10,148,"20%-29%","All",0.0675675675675676
"AK","Hispanic or Latino",11,320,"30%-39%","All",0.034375
"AK","Hispanic or Latino",26,579,"40%-49%","All",0.0449050086355786
"AK","Hispanic or Latino",13,221,"50%-60%","All",0.0588235294117647
"AK","Non-Hispanic Asian",5,29,"<20%","All",999
"AK","Non-Hispanic Asian",5,118,"20%-29%","All",0.0423728813559322
"AK","Non-Hispanic Asian",12,314,"30%-39%","All",0.0382165605095541
"AK","Non-Hispanic Asian",20,493,"40%-49%","All",0.0405679513184584
"AK","Non-Hispanic Asian",8,123,"50%-60%","All",0.0650406504065041
"AK","Non-Hispanic Black",0,10,"<20%","All",999
"AK","Non-Hispanic Black",1,34,"20%-29%","All",999
"AK","Non-Hispanic Black",6,136,"30%-39%","All",0.0441176470588235
"AK","Non-Hispanic Black",11,222,"40%-49%","All",0.0495495495495495
"AK","Non-Hispanic Black",7,80,"50%-60%","All",999
"AK","Non-Hispanic White",44,682,"<20%","All",0.0645161290322581
"AK","Non-Hispanic White",107,2917,"20%-29%","All",0.0366815221117587
"AK","Non-Hispanic White",184,5337,"30%-39%","All",0.0344762975454375
"AK","Non-Hispanic White",212,5844,"40%-49%","All",0.0362765229295003
"AK","Non-Hispanic White",123,1513,"50%-60%","All",0.0812954395241243
"AL","Hispanic or Latino",84,393,"<20%","All",0.213740458015267
"AL","Hispanic or Latino",104,856,"20%-29%","All",0.121495327102804
"AL","Hispanic or Latino",113,1213,"30%-39%","All",0.0931574608408904
"AL","Hispanic or Latino",107,1090,"40%-49%","All",0.0981651376146789
"AL","Hispanic or Latino",62,331,"50%-60%","All",0.187311178247734
"AL","Non-Hispanic Asian",20,305,"<20%","All",0.0655737704918033
"AL","Non-Hispanic Asian",26,626,"20%-29%","All",0.0415335463258786
"AL","Non-Hispanic Asian",34,783,"30%-39%","All",0.0434227330779055
"AL","Non-Hispanic Asian",48,697,"40%-49%","All",0.0688665710186514
"AL","Non-Hispanic Asian",23,122,"50%-60%","All",0.188524590163934
"AL","Non-Hispanic Black",560,1199,"<20%","All",0.467055879899917
"AL","Non-Hispanic Black",636,3099,"20%-29%","All",0.205227492739593
"AL","Non-Hispanic Black",833,5910,"30%-39%","All",0.140947546531303
"AL","Non-Hispanic Black",844,6403,"40%-49%","All",0.131813212556614
"AL","Non-Hispanic Black",464,2519,"50%-60%","All",0.184200079396586
"AL","Non-Hispanic White",1424,11310,"<20%","All",0.125906277630416
"AL","Non-Hispanic White",1934,26754,"20%-29%","All",0.0722882559617253
"AL","Non-Hispanic White",2232,33441,"30%-39%","All",0.0667444155378129
"AL","Non-Hispanic White",1895,25908,"40%-49%","All",0.0731434306005867
"AL","Non-Hispanic White",944,5564,"50%-60%","All",0.169662113587347
"AR","Hispanic or Latino",75,336,"<20%","All",0.223214285714286
"AR","Hispanic or Latino",95,785,"20%-29%","All",0.121019108280255
"AR","Hispanic or Latino",116,1146,"30%-39%","All",0.101221640488656
"AR","Hispanic or Latino",100,1087,"40%-49%","All",0.0919963201471941
"AR","Hispanic or Latino",73,307,"50%-60%","All",0.237785016286645
"AR","Non-Hispanic Asian",24,290,"<20%","All",0.0827586206896552
"AR","Non-Hispanic Asian",21,567,"20%-29%","All",0.037037037037037
"AR","Non-Hispanic Asian",25,498,"30%-39%","All",0.0502008032128514
"AR","Non-Hispanic Asian",23,333,"40%-49%","All",0.0690690690690691
"AR","Non-Hispanic Asian",18,60,"50%-60%","All",999
"AR","Non-Hispanic Black",194,431,"<20%","All",0.450116009280742
"AR","Non-Hispanic Black",206,937,"20%-29%","All",0.219850586979723
"AR","Non-Hispanic Black",247,1642,"30%-39%","All",0.150426309378806
"AR","Non-Hispanic Black",250,1723,"40%-49%","All",0.145095763203714
"AR","Non-Hispanic Black",152,548,"50%-60%","All",0.277372262773723
"AR","Non-Hispanic White",1361,6697,"<20%","All",0.203225324772286
"AR","Non-Hispanic White",1324,15072,"20%-29%","All",0.0878450106157112
"AR","Non-Hispanic White",1416,19247,"30%-39%","All",0.0735699069984933
"AR","Non-Hispanic White",1295,14756,"40%-49%","All",0.0877609108159393
"AR","Non-Hispanic White",653,3022,"50%-60%","All",0.21608206485771
"AZ","Hispanic or Latino",201,1387,"<20%","All",0.144917087238645
"AZ","Hispanic or Latino",528,6670,"20%-29%","All",0.0791604197901049
"AZ","Hispanic or Latino",1126,16214,"30%-39%","All",0.0694461576415443
"AZ","Hispanic or Latino",1591,20832,"40%-49%","All",0.0763728878648234
"AZ","Hispanic or Latino",850,5273,"50%-60%","All",0.16119855869524
"AZ","Non-Hispanic Asian",47,715,"<20%","All",0.0657342657342657
"AZ","Non-Hispanic Asian",118,2464,"20%-29%","All",0.0478896103896104
"AZ","Non-Hispanic Asian",172,3379,"30%-39%","All",0.0509026339153596
"AZ","Non-Hispanic Asian",196,3334,"40%-49%","All",0.0587882423515297
"AZ","Non-Hispanic Asian",105,525,"50%-60%","All",0.2
"AZ","Non-Hispanic Black",32,241,"<20%","All",0.132780082987552
"AZ","Non-Hispanic Black",89,1125,"20%-29%","All",0.0791111111111111
"AZ","Non-Hispanic Black",261,2898,"30%-39%","All",0.0900621118012422
"AZ","Non-Hispanic Black",404,4197,"40%-49%","All",0.0962592327853228
"AZ","Non-Hispanic Black",245,1453,"50%-60%","All",0.168616655196146
"AZ","Non-Hispanic White",647,9818,"<20%","All",0.0658993685068242
"AZ","Non-Hispanic White",1590,34209,"20%-29%","All",0.0464789967552399
"AZ","Non-Hispanic White",2823,59082,"30%-39%","All",0.04778105006601
"AZ","Non-Hispanic White",3482,64043,"40%-49%","All",0.0543697203441438
"AZ","Non-Hispanic White",1687,11339,"50%-60%","All",0.14877855190052
"CA","Hispanic or Latino",635,2525,"<20%","All",0.251485148514851
"CA","Hispanic or Latino",1455,14760,"20%-29%","All",0.0985772357723577
"CA","Hispanic or Latino",3889,52515,"30%-39%","All",0.0740550318956489
"CA","Hispanic or Latino",7778,101388,"40%-49%","All",0.0767151931195013
"CA","Hispanic or Latino",5541,34210,"50%-60%","All",0.161970184156679
"CA","Non-Hispanic Asian",194,1735,"<20%","All",0.111815561959654
"CA","Non-Hispanic Asian",831,13936,"20%-29%","All",0.0596297359357061
"CA","Non-Hispanic Asian",2402,42321,"30%-39%","All",0.0567566928947804
"CA","Non-Hispanic Asian",4501,62361,"40%-49%","All",0.0721765205817739
"CA","Non-Hispanic Asian",2085,8116,"50%-60%","All",0.256899950714638
"CA","Non-Hispanic Black",73,349,"<20%","All",0.209169054441261
"CA","Non-Hispanic Black",214,2159,"20%-29%","All",0.0991199629458082
"CA","Non-Hispanic Black",713,8192,"30%-39%","All",0.0870361328125
"CA","Non-Hispanic Black",1630,16426,"40%-49%","All",0.0992329234140996
"CA","Non-Hispanic Black",1143,6908,"50%-60%","All",0.165460335842501
"CA","Non-Hispanic White",895,7981,"<20%","All",0.112141335672222
"CA","Non-Hispanic White",2379,45656,"20%-29%","All",0.0521070615034169
"CA","Non-Hispanic White",5397,111742,"30%-39%","All",0.0482987596427485
"CA","Non-Hispanic White",8721,151763,"40%-49%","All",0.0574645994082879
"CA","Non-Hispanic White",4472,27981,"50%-60%","All",0.159822736857153
"CO","Hispanic or Latino",240,732,"<20%","All",0.327868852459016
"CO","Hispanic or Latino",435,3190,"20%-29%","All",0.136363636363636
"CO","Hispanic or Latino",792,8619,"30%-39%","All",0.0918900104420466
"CO","Hispanic or Latino",1196,15892,"40%-49%","All",0.0752579914422351
"CO","Hispanic or Latino",729,5403,"50%-60%","All",0.134925041643531
"CO","Non-Hispanic Asian",17,347,"<20%","All",0.0489913544668588
"CO","Non-Hispanic Asian",67,1508,"20%-29%","All",0.0444297082228117
"CO","Non-Hispanic Asian",147,3076,"30%-39%","All",0.0477893368010403
"CO","Non-Hispanic Asian",217,4331,"40%-49%","All",0.0501039021011314
"CO","Non-Hispanic Asian",153,769,"50%-60%","All",0.198959687906372
"CO","Non-Hispanic Black",16,162,"<20%","All",0.0987654320987654
"CO","Non-Hispanic Black",44,602,"20%-29%","All",0.0730897009966777
"CO","Non-Hispanic Black",130,1681,"30%-39%","All",0.0773349196906603
"CO","Non-Hispanic Black",238,3389,"40%-49%","All",0.070227205665388
"CO","Non-Hispanic Black",180,1403,"50%-60%","All",0.128296507483963
"CO","Non-Hispanic White",432,7395,"<20%","All",0.0584178498985801
"CO","Non-Hispanic White",1207,31705,"20%-29%","All",0.0380697050938338
"CO","Non-Hispanic White",2141,59207,"30%-39%","All",0.0361612647153208
"CO","Non-Hispanic White",3065,71167,"40%-49%","All",0.0430677139685528
"CO","Non-Hispanic White",1709,14337,"50%-60%","All",0.119202064588129
"CT","Hispanic or Latino",38,255,"<20%","All",0.149019607843137
"CT","Hispanic or Latino",118,1484,"20%-29%","All",0.0795148247978437
"CT","Hispanic or Latino",299,3805,"30%-39%","All",0.078580814717477
"CT","Hispanic or Latino",432,4990,"40%-49%","All",0.0865731462925852
"CT","Hispanic or Latino",288,1607,"50%-60%","All",0.179215930304916
"CT","Non-Hispanic Asian",19,293,"<20%","All",0.0648464163822526
"CT","Non-Hispanic Asian",55,1096,"20%-29%","All",0.0501824817518248
"CT","Non-Hispanic Asian",85,1463,"30%-39%","All",0.0580997949419002
"CT","Non-Hispanic Asian",77,1432,"40%-49%","All",0.0537709497206704
"CT","Non-Hispanic Asian",49,221,"50%-60%","All",0.221719457013575
"CT","Non-Hispanic Black",38,160,"<20%","All",0.2375
"CT","Non-Hispanic Black",98,878,"20%-29%","All",0.111617312072893
"CT","Non-Hispanic Black",237,2352,"30%-39%","All",0.100765306122449
"CT","Non-Hispanic Black",362,3259,"40%-49%","All",0.111077017490028
"CT","Non-Hispanic Black",204,1187,"50%-60%","All",0.171861836562763
"CT","Non-Hispanic White",176,2944,"<20%","All",0.0597826086956522
"CT","Non-Hispanic White",553,13387,"20%-29%","All",0.0413087323522821
"CT","Non-Hispanic White",959,22453,"30%-39%","All",0.0427114416781722
"CT","Non-Hispanic White",1126,21064,"40%-49%","All",0.0534561336878086
"CT","Non-Hispanic White",600,3519,"50%-60%","All",0.170502983802217
"DC","Hispanic or Latino",3,46,"<20%","All",999
"DC","Hispanic or Latino",10,256,"20%-29%","All",0.0390625
"DC","Hispanic or Latino",14,436,"30%-39%","All",0.0321100917431193
"DC","Hispanic or Latino",36,514,"40%-49%","All",0.0700389105058366
"DC","Hispanic or Latino",19,66,"50%-60%","All",999
"DC","Non-Hispanic Asian",2,60,"<20%","All",999
"DC","Non-Hispanic Asian",6,321,"20%-29%","All",0.0186915887850467
"DC","Non-Hispanic Asian",21,523,"30%-39%","All",0.0401529636711281
"DC","Non-Hispanic Asian",25,459,"40%-49%","All",0.0544662309368192
"DC","Non-Hispanic Asian",13,36,"50%-60%","All",999
"DC","Non-Hispanic Black",12,49,"<20%","All",999
"DC","Non-Hispanic Black",33,413,"20%-29%","All",0.0799031476997579
"DC","Non-Hispanic Black",80,1073,"30%-39%","All",0.0745573159366263
"DC","Non-Hispanic Black",138,1514,"40%-49%","All",0.0911492734478203
"DC","Non-Hispanic Black",78,285,"50%-60%","All",0.273684210526316
"DC","Non-Hispanic White",11,419,"<20%","All",0.0262529832935561
"DC","Non-Hispanic White",51,2590,"20%-29%","All",0.0196911196911197
"DC","Non-Hispanic White",93,3511,"30%-39%","All",0.0264881800056964
"DC","Non-Hispanic White",94,2718,"40%-49%","All",0.0345842531272995
"DC","Non-Hispanic White",44,200,"50%-60%","All",0.22
"DE","Hispanic or Latino",28,82,"<20%","All",999
"DE","Hispanic or Latino",38,302,"20%-29%","All",0.125827814569536
"DE","Hispanic or Latino",62,614,"30%-39%","All",0.100977198697068
"DE","Hispanic or Latino",53,616,"40%-49%","All",0.086038961038961
"DE","Hispanic or Latino",42,237,"50%-60%","All",0.177215189873418
"DE","Non-Hispanic Asian",17,173,"<20%","All",0.0982658959537572
"DE","Non-Hispanic Asian",22,389,"20%-29%","All",0.0565552699228792
"DE","Non-Hispanic Asian",28,464,"30%-39%","All",0.0603448275862069
"DE","Non-Hispanic Asian",34,419,"40%-49%","All",0.081145584725537
"DE","Non-Hispanic Asian",11,57,"50%-60%","All",999
"DE","Non-Hispanic Black",41,160,"<20%","All",0.25625
"DE","Non-Hispanic Black",87,696,"20%-29%","All",0.125
"DE","Non-Hispanic Black",176,1694,"30%-39%","All",0.103896103896104
"DE","Non-Hispanic Black",288,2354,"40%-49%","All",0.122344944774851
"DE","Non-Hispanic Black",154,886,"50%-60%","All",0.173814898419865
"DE","Non-Hispanic White",132,1356,"<20%","All",0.0973451327433628
"DE","Non-Hispanic White",220,4332,"20%-29%","All",0.0507848568790397
"DE","Non-Hispanic White",353,6922,"30%-39%","All",0.0509968217278243
"DE","Non-Hispanic White",394,6412,"40%-49%","All",0.061447286338116
"DE","Non-Hispanic White",191,1179,"50%-60%","All",0.162001696352841
"FL","Hispanic or Latino",777,3490,"<20%","All",0.222636103151862
"FL","Hispanic or Latino",1893,16581,"20%-29%","All",0.11416681744165
"FL","Hispanic or Latino",4346,44161,"30%-39%","All",0.0984126265256674
"FL","Hispanic or Latino",7702,73478,"40%-49%","All",0.104820490486948
"FL","Hispanic or Latino",5409,30265,"50%-60%","All",0.178721295225508
"FL","Non-Hispanic Asian",109,1054,"<20%","All",0.103415559772296
"FL","Non-Hispanic Asian",310,4078,"20%-29%","All",0.0760176557135851
"FL","Non-Hispanic Asian",506,6740,"30%-39%","All",0.0750741839762611
"FL","Non-Hispanic Asian",670,7915,"40%-49%","All",0.0846493998736576
"FL","Non-Hispanic Asian",414,1686,"50%-60%","All",0.245551601423488
"FL","Non-Hispanic Black",360,1214,"<20%","All",0.296540362438221
"FL","Non-Hispanic Black",891,5806,"20%-29%","All",0.15346193592835
"FL","Non-Hispanic Black",2162,16943,"30%-39%","All",0.127604320368294
